customer_id,age_group,gender,country,customer_segment,account_type,transaction_id,transaction_date,transaction_amount,transaction_type,channel,merchant_category,fraud_flag,credit_score,risk_rating,complaint_count,mobile_app_usage,internet_banking_usage,login_frequency,income_band,loan_balance,deposit_balance,repayment_status,branch_code,transaction_status,processing_time
CUST01386,56-65,female,Kenya,Retail,Savings,TXN000239,17/01/2024,10107.82,Withdrawal,Branch,Retail,,,Medium,0,Yes,No,9999,>1M,-1000,278269.23,Current,BR-006,Completed,
CUST01404,46-55,,Egypt,,Current,TXN000250,24/10/2024,-4134.6,Airtime,Mobile App,Healthcare,0,797,Med,-1,Yes,TRUE,,>1M,,717418.6,current,BR003,Reversed,5.41
CUST01374,26-35,Male,Tanzania,Retail,Fixed Deposit,TXN000131,24-Aug-24,8902.73,Airtime,POS,Travel,0,,Med,,Yes,No,9999,50k-150k,,103144.64,Default,BR004,Pending,-2
CUST01316,65+,male,TZ,Retail,Wallet,TXN000339,17/07/2024,5169.04,Airtime,ATM,Telecom,0,-50,HIGH,0,No,No,9999,150k-500k,-1000,780100.93,LATE,BR002,Pending,600
CUST01080,65+,Male,Egypt,Retail,Fixed Deposit,TXN000392,11/04/2024,3057.92,WITHDRAWAL,ATM,Telecom,0,-50,Medium,2,1,Yes,9999,>1M,-1000,376782.97,LATE,BR003,Completed,-2
CUST01192,36-45,female,RSA,,Savings,TXN000154,26/07/2024,1741.01,Transfer,Mobile App,Education,0,1500,Med,3,No,FALSE,10,500k-1M,-1000,224647.61,N/A,BR002,completed,
CUST01247,56-65,female,EGYPT,Affluent,Current,TXN000529,21/07/2024,3083.64,Payment,Mobile App,Education,1,999,low,2,,,25,500k-1M,,742244.57,Default,BR001,Failed,-2
CUST01386,,Female,Rwanda,,savings,TXN000551,01/05/2024,,Airtime,Branch,Groceries,No,1500,Medium,2,1,,,500k-1M,417401.09,359417.07,Late,BR004,Completed,2.47
CUST01201,26-35,Male,EGYPT,SME,CURRENT,TXN000371,06/27/2024,2719.63,Airtime,ATM,Groceries,1,999,High,0,No,Yes,52,<50k,,689111.02,Current,BR001,Pending,
CUST01052,65+,Male,KENYA,Retail,CURRENT,TXN000002,03/05/2024,406.87,WITHDRAWAL,Branch,Utilities,Yes,570,low,3,Yes,FALSE,9999,150k-500k,-1000,494815.8,N/A,BR-006,Pending,
CUST01204,26-35,male,KENYA,,Wallet,TXN000448,09/10/2024,2832.37,Airtime,USSD,Utilities,1,-50,Med,-1,Yes,FALSE,9999,50k-150k,,637815.89,LATE,br007,Completed,
CUST01306,46-55,Female,TZ,Retail,Current,TXN000545,22/06/2024,7674700,deposit,POS,Misc,0,384,HIGH,3,N,FALSE,57,<50k,-1000,518375.81,Current,BR002,Pending,7.94
CUST01195,,Female,KENYA,Student,Fixed Deposit,TXN000437,2024-13-45,10493.4,Airtime,Branch,Groceries,0,1500,High,0,0,TRUE,9999,>1M,371342.46,669482.65,N/A,BR002,Reversed,3.52
CUST01032,26-35,female,Tanzania,SME,CURRENT,TXN000007,19-Oct-24,3549.93,Payment,Branch,Education,1,525,low,,0,Yes,14,50k-150k,,56685.88,Current,BR001,Reversed,600
CUST01376,46-55,F,EGYPT,Student,CURRENT,TXN000241,05/02/2024,1024.08,Payment,mobile app,,1,,Low,-1,,FALSE,9999,,183720.7,798978.66,Late,BR001,Pending,3.98
CUST01395,26-35,female,TZ,SME,savings,TXN000412,04/11/2024,4495.59,Airtime,POS,Telecom,No,1500,HIGH,1,Yes,TRUE,9999,>1M,-1000,654819.67,Current,BR-006,Completed,600
CUST01373,56-65,,EGYPT,Retail,Wallet,TXN000209,19/08/2024,2910.54,deposit,POS,Travel,Yes,,High,,0,Yes,9999,150k-500k,-1000,249999.78,Default,BR002,Completed,-2
CUST01230,36-45,Female,Ghana,Corporate,Savings,TXN000368,01/12/2024,12689.63,deposit,POS,Fuel,,999,low,2,Yes,Yes,,>1M,214693.4,286195.61,Default,BR002,completed,-2
CUST01399,,F,Rwanda,,CURRENT,TXN000471,26/11/2024,3732,Payment,atm,,1,691,HIGH,3,,Yes,36,<50k,58736.68,288560.66,N/A,br007,Reversed,600
CUST01274,18-25,Male,RSA,Corporate,Fixed Deposit,TXN000348,10/03/2024,349.29,Payment,Internet Banking,Healthcare,0,-50,low,,Yes,No,23,50k-150k,101639.83,289918.75,Late,br007,Failed,
CUST01390,56-65,Female,KENYA,SME,Wallet,TXN000416,05/02/2024,1014.72,Payment,atm,Healthcare,Yes,,Med,1,N,,9999,>1M,155304.91,647744.63,Late,BR001,Reversed,7.81
CUST01269,,Female,Rwanda,Student,Fixed Deposit,TXN000383,17/10/2024,2803.23,Transfer,Internet Banking,,,1500,HIGH,2,N,FALSE,,>1M,-1000,21137.7,Default,BR001,Reversed,6.16
CUST01394,,male,NIGERIA,,CURRENT,TXN000117,15/06/2024,3689.12,Deposit,USSD,Fuel,1,-50,Medium,2,No,TRUE,47,,,134309.93,Current,BR003,Pending,7.09
CUST01176,46-55,male,Uganda,Retail,Savings,TXN000159,20/08/2024,7724.06,Payment,Mobile App,Utilities,0,1500,High,0,No,,,50k-150k,-1000,557645.93,Default,BR001,completed,
CUST01369,56-65,F,GHANA,Student,savings,TXN000550,07/10/2024,,Payment,ATM,Education,,999,Med,1,Yes,Yes,9999,>1M,100856.61,266014.34,current,BR003,completed,-2
CUST01185,26-35,male,kenya,,Wallet,TXN000323,08/02/2024,6157.77,Payment,atm,Retail,0,1500,Med,0,Yes,TRUE,30,>1M,472531.6,784221.41,Late,BR-006,Reversed,600
CUST01108,65+,M,Kenya,Corporate,CURRENT,TXN000558,04/02/2024,201.3,Airtime,ATM,Utilities,0,-50,low,3,0,TRUE,,<50k,376150.97,249513.76,N/A,br007,Pending,7.04
CUST01079,46-55,female,South Africa,SME,Current,TXN000311,25/05/2024,51.67,WITHDRAWAL,POS,Healthcare,No,1500,Med,2,N,TRUE,,500k-1M,-1000,56987.48,LATE,BR-006,Pending,7.09
CUST01336,,male,Rwanda,Retail,savings,TXN000178,24/01/2024,201.33,Deposit,USSD,Utilities,0,372,Medium,,N,Yes,9999,>1M,-1000,594781.95,Current,BR001,Failed,-2
CUST01281,46-55,Male,Uganda,Student,savings,TXN000138,26/02/2024,"NGN 6,795.34",Airtime,USSD,Healthcare,Yes,-50,HIGH,0,,FALSE,,50k-150k,,596191.17,LATE,BR-006,Reversed,600
CUST01203,36-45,Female,Rwanda,Affluent,CURRENT,TXN000058,09/09/2024,149.23,WITHDRAWAL,Mobile App,Travel,0,999,Low,-1,0,TRUE,17,500k-1M,,711589.21,current,br007,Failed,600
CUST01251,,Male,Uganda,Affluent,Fixed Deposit,TXN000534,03/04/2024,"NGN 9,595.86",deposit,Internet Banking,Utilities,0,999,HIGH,1,Y,TRUE,30,,-1000,516007.16,current,BR001,Pending,
CUST01220,65+,M,EGYPT,SME,Savings,TXN000407,25/09/2024,419.07,Withdrawal,ATM,,0,999,Low,2,N,No,56,>1M,,791044.46,current,br007,Failed,
CUST01390,26-35,female,KENYA,SME,Current,TXN000432,17/06/2024,550.17,WITHDRAWAL,ATM,,,1500,HIGH,1,,FALSE,,500k-1M,,390647.46,Current,BR-006,Failed,5.95
CUST01403,18-25,Female,nigeria,Corporate,Savings,TXN000041,17/07/2024,7819.17,Deposit,Mobile App,Education,0,-50,low,-1,No,Yes,42,150k-500k,,631987.73,current,BR005,Completed,-2
CUST01400,65+,,Uganda,Affluent,Fixed Deposit,TXN000297,28/06/2024,6900.77,Withdrawal,mobile app,Travel,0,1500,Medium,-1,N,No,9999,500k-1M,,186978.55,N/A,br007,completed,600
CUST01268,26-35,Male,Egypt,Retail,Savings,TXN000337,07/06/2024,1002.96,Transfer,atm,Retail,No,-50,HIGH,,Yes,TRUE,,<50k,,569268.48,N/A,BR002,Pending,2.05
CUST01274,18-25,F,South Africa,,Fixed Deposit,TXN000567,18-Aug-24,2585.15,deposit,Internet Banking,Groceries,Yes,471,Med,-1,No,FALSE,,<50k,-1000,466303.37,LATE,BR005,Completed,-2
CUST01071,36-45,Male,Rwanda,SME,Savings,TXN000461,13/05/2024,252.53,deposit,POS,Retail,No,999,HIGH,-1,No,FALSE,11,150k-500k,468145.79,593573.34,Current,br007,Completed,
CUST01037,65+,M,GHANA,Affluent,Wallet,TXN000405,27/12/2024,9384.49,Payment,USSD,Education,0,-50,Med,,Y,Yes,,50k-150k,-1000,86217.43,LATE,BR002,completed,5.81
CUST01167,65+,Female,TZ,Student,savings,TXN000506,14/07/2024,3301.03,deposit,ATM,Retail,,1500,High,3,1,No,9999,50k-150k,-1000,484065.13,Late,BR003,Completed,2.44
CUST01313,36-45,male,GHANA,SME,Savings,TXN000193,04/01/2024,-3197.11,Airtime,USSD,Groceries,0,999,low,0,,No,9999,500k-1M,,247614.64,N/A,BR005,Completed,600
CUST01033,18-25,,Uganda,Affluent,Wallet,TXN000369,14/05/2024,3683.22,Deposit,Mobile App,Education,0,-50,Medium,,1,Yes,9999,>1M,,254226.64,Default,BR005,Reversed,
CUST01117,26-35,F,KENYA,Corporate,Current,TXN000223,21/04/2024,1033.95,Transfer,USSD,Fuel,No,,High,0,Yes,FALSE,,50k-150k,,115953.02,Current,BR-006,completed,600
CUST01256,46-55,Female,Tanzania,,savings,TXN000087,25/02/2024,411.17,Airtime,USSD,Fuel,No,999,Med,-1,Y,Yes,,<50k,,392482.76,Current,BR003,Failed,600
CUST01161,46-55,Female,Rwanda,Retail,savings,TXN000096,10/04/2024,8025.43,Deposit,USSD,Fuel,0,,HIGH,-1,N,,9999,150k-500k,-1000,393380.7,Late,br007,Reversed,600
CUST01233,56-65,female,Uganda,Corporate,Savings,TXN000208,2024-13-45,2423.44,deposit,POS,Utilities,,1500,HIGH,0,No,FALSE,38,500k-1M,-1000,189399.97,LATE,BR001,Failed,600
CUST01410,,F,GHANA,Retail,Current,TXN000054,01/06/2024,214.36,Payment,ATM,Travel,1,-50,HIGH,,,,54,150k-500k,142531.51,218233.04,Late,BR004,Completed,
CUST01109,46-55,Male,Uganda,,Current,TXN000492,06/11/2024,2541.27,Transfer,Internet Banking,Misc,No,999,low,0,No,No,9999,>1M,-1000,307432.4,Late,BR002,Reversed,
CUST01008,56-65,Female,Uganda,Student,Savings,TXN000456,20/08/2024,12854.39,deposit,Branch,Utilities,Yes,-50,Med,1,1,TRUE,40,500k-1M,-1000,73714.82,Default,BR004,Reversed,4.51
CUST01174,,M,Tanzania,Student,Fixed Deposit,TXN000504,23/06/2024,1845.4,Withdrawal,Internet Banking,Restaurants,Yes,364,Med,1,N,No,,>1M,,507097.14,Late,BR-006,completed,600
CUST01156,26-35,Female,TZ,,Wallet,TXN000025,25/10/2024,3225.02,Airtime,USSD,Utilities,Yes,999,Medium,1,Y,TRUE,14,150k-500k,,95643.79,Late,BR003,Failed,
CUST01077,26-35,Male,EGYPT,SME,Fixed Deposit,TXN000249,14/09/2024,2112.3,Payment,ATM,Fuel,No,,Medium,1,,TRUE,41,150k-500k,-1000,188903.86,Late,BR001,Pending,
CUST01124,56-65,Male,Rwanda,SME,Current,TXN000445,08/01/2024,1228.86,Transfer,POS,Retail,Yes,1500,High,-1,No,TRUE,,,,629899.16,Late,BR005,Pending,-2
CUST01102,,female,Ghana,Retail,Current,TXN000062,2024-13-45,,Payment,atm,Misc,0,1500,HIGH,3,Yes,Yes,,150k-500k,-1000,382932.09,Late,br007,completed,600
CUST01206,65+,Female,Rwanda,Retail,Wallet,TXN000597,12/11/2024,9222.86,Deposit,POS,Healthcare,,450,low,-1,Yes,FALSE,34,<50k,42176.25,144359.18,LATE,BR003,Reversed,-2
CUST01253,46-55,F,EGYPT,Retail,Wallet,TXN000100,05/12/2024,7049.04,deposit,USSD,Telecom,Yes,-50,High,-1,Y,Yes,2,<50k,,13025.08,LATE,BR003,Pending,
CUST01019,56-65,Female,Uganda,,Savings,TXN000160,01/11/2024,3807.32,Withdrawal,Mobile App,Retail,Yes,,low,2,Yes,No,9999,150k-500k,-1000,228805.21,LATE,BR004,Reversed,
CUST01112,36-45,Male,kenya,Student,Fixed Deposit,TXN000306,2024-13-45,6751.43,deposit,Internet Banking,Restaurants,1,677,Medium,0,N,TRUE,9999,,249788.01,570024.89,LATE,BR003,Reversed,
CUST01033,56-65,F,EGYPT,,Savings,TXN000125,12/04/2024,583.11,Payment,atm,Telecom,0,,low,-1,No,Yes,15,>1M,,563707.16,current,BR003,Pending,600
CUST01288,,Male,Kenya,Affluent,Current,TXN000076,19/08/2024,7059.09,Deposit,atm,Misc,0,-50,High,0,Y,,28,,-1000,466518.14,Current,BR004,Pending,600
CUST01290,46-55,Male,Egypt,Corporate,Fixed Deposit,TXN000378,25/09/2024,2980.03,deposit,atm,Utilities,1,450,High,1,,TRUE,,,-1000,205871.61,current,BR-006,Completed,-2
CUST01163,65+,male,Egypt,Retail,Current,TXN000321,12/13/2024,1277.81,Transfer,Internet Banking,Groceries,Yes,,HIGH,1,0,FALSE,,500k-1M,-1000,168490.47,Default,BR004,Reversed,
CUST01114,56-65,male,Nigeria,Corporate,savings,TXN000235,28/07/2024,669.06,Transfer,atm,Utilities,0,783,High,2,No,FALSE,9999,>1M,322392.92,95483.73,LATE,BR005,Completed,2.29
CUST01393,26-35,F,Nigria,SME,Savings,TXN000563,16/11/2024,6161.42,Payment,Branch,Healthcare,0,999,HIGH,,No,FALSE,9999,,,770806.54,Late,BR001,Pending,600
CUST01376,65+,Male,Rwanda,Affluent,CURRENT,TXN000596,21/12/2024,1065.59,Payment,mobile app,Misc,0,-50,Low,0,,,9999,500k-1M,,326740.13,N/A,BR-006,Completed,600
CUST01243,36-45,M,Rwanda,,savings,TXN000446,13/09/2024,671.03,Payment,Internet Banking,Restaurants,0,,Med,-1,N,TRUE,40,50k-150k,14002.35,466584.3,current,br007,completed,1.27
CUST01384,46-55,male,S. Africa,Corporate,savings,TXN000132,02/10/2024,11832.54,deposit,Mobile App,Misc,0,713,Low,0,0,No,9999,<50k,-1000,135187.79,LATE,BR001,Reversed,3
CUST01416,36-45,F,Rwanda,Retail,Wallet,TXN000549,06/05/2024,4295.63,Deposit,Internet Banking,Fuel,0,1500,HIGH,-1,Y,FALSE,,>1M,-1000,694507.09,N/A,BR003,Failed,
CUST01356,46-55,F,NIGERIA,Retail,Wallet,TXN000136,09/02/2024,437.98,deposit,POS,Groceries,Yes,-50,Med,0,1,FALSE,,,-1000,703960.2,current,br007,completed,
CUST01072,,female,RSA,,Current,TXN000482,15/03/2024,834.7,WITHDRAWAL,Branch,Retail,Yes,666,Med,-1,,,9999,500k-1M,-1000,256442.45,N/A,BR004,Reversed,600
CUST01279,56-65,F,EGYPT,Corporate,CURRENT,TXN000059,2024-13-45,433.01,deposit,mobile app,Restaurants,Yes,999,HIGH,3,0,FALSE,9999,,,33884.13,LATE,BR002,Completed,-2
CUST01300,46-55,female,South Africa,Retail,Fixed Deposit,TXN000161,04/09/2024,-5341.27,Airtime,Mobile App,Healthcare,0,-50,High,,,,9999,150k-500k,,181036.41,Current,br007,completed,600
CUST01131,65+,male,EGYPT,SME,Fixed Deposit,TXN000162,17/06/2024,13532.11,Airtime,ATM,Retail,Yes,999,Medium,,N,,55,150k-500k,,54043.41,Current,BR004,Pending,
CUST01374,18-25,Male,Ghana,SME,Current,TXN000261,10/07/2024,7959.25,deposit,Internet Banking,Utilities,0,999,High,,Yes,,9999,500k-1M,,204131.12,N/A,BR-006,Pending,600
CUST01034,56-65,Male,Tanzania,Retail,Current,TXN000307,07/05/2024,3751.42,Withdrawal,mobile app,Fuel,0,-50,Med,3,1,Yes,14,<50k,308174.34,247078.9,Late,BR-006,completed,
CUST01275,65+,,SOUTH AFRICA,Student,Fixed Deposit,TXN000011,05-Feb-24,568.36,Transfer,Mobile App,Utilities,,,Med,1,No,FALSE,9999,>1M,-1000,787082.65,Late,BR003,Pending,6.48
CUST01291,26-35,female,RSA,,Savings,TXN000083,27/02/2024,3199.75,deposit,ATM,Groceries,Yes,999,low,,0,FALSE,29,50k-150k,,135412.57,LATE,BR002,Completed,600
CUST01349,26-35,M,Rwanda,,Savings,TXN000490,05/05/2024,1693.37,Deposit,atm,Travel,0,1500,Med,2,1,TRUE,14,>1M,-1000,139482.53,Late,BR004,Failed,-2
CUST01337,26-35,Male,EGYPT,Retail,CURRENT,TXN000562,07/05/2024,4352.11,Payment,Mobile App,Retail,No,,Medium,1,No,No,,150k-500k,,39146.74,Default,BR002,Reversed,600
CUST01371,36-45,F,GHANA,Retail,savings,TXN000516,11/03/2024,5315.05,Transfer,atm,Education,No,-50,HIGH,1,N,TRUE,,,-1000,601327.38,Late,BR001,Pending,600
CUST01196,36-45,Male,Uganda,,savings,TXN000442,11/13/2024,2112.52,Airtime,Branch,Telecom,1,,low,3,1,FALSE,60,150k-500k,162510.16,133167.1,LATE,br007,Failed,5.04
CUST01347,18-25,Female,nigeria,Affluent,Wallet,TXN000360,20/09/2024,,Withdrawal,mobile app,Travel,1,-50,High,,N,FALSE,,,-1000,340679.36,LATE,BR-006,Reversed,-2
CUST01189,65+,male,GHANA,SME,Current,TXN000211,02/06/2024,6102.74,deposit,USSD,Utilities,0,-50,Low,1,Yes,No,38,50k-150k,,616294.23,N/A,BR004,Reversed,600
CUST01157,56-65,,Rwanda,Student,savings,TXN000466,12/09/2024,3223.46,Airtime,Branch,Healthcare,No,,Medium,-1,1,No,9999,150k-500k,110928.55,158941.7,Late,BR001,Failed,
CUST01389,36-45,female,Uganda,Retail,CURRENT,TXN000099,21/08/2024,613.4,deposit,POS,Utilities,Yes,1500,HIGH,0,0,Yes,9999,500k-1M,-1000,749068.89,Late,BR004,Failed,600
CUST01233,56-65,F,SOUTH AFRICA,,Current,TXN000293,10/19/2024,6632.16,Withdrawal,USSD,Telecom,No,-50,High,,Yes,Yes,9,50k-150k,397449.06,426043.77,Current,BR-006,Pending,-2
CUST01373,36-45,male,Nigeria,SME,Wallet,TXN000578,02/12/2024,2538.25,deposit,POS,Groceries,0,999,High,-1,No,Yes,23,,-1000,414997.53,LATE,BR001,Pending,-2
CUST01289,36-45,,Rwanda,Retail,Wallet,TXN000097,15/02/2024,3401.21,WITHDRAWAL,Mobile App,Fuel,0,-50,Medium,-1,0,FALSE,34,,494887.86,588790.96,current,BR-006,Pending,
CUST01046,36-45,Male,Tanzania,Retail,Savings,TXN000319,07/10/2024,10740.07,deposit,Mobile App,,No,999,High,,0,FALSE,9999,50k-150k,,646757.99,Default,BR004,completed,1.87
CUST01227,65+,Female,Tanzania,,CURRENT,TXN000308,28/10/2024,1303.62,Payment,POS,Telecom,No,-50,low,,,TRUE,48,,-1000,265016.22,Current,BR001,Reversed,2.01
CUST01159,26-35,female,Uganda,Student,Savings,TXN000290,07/04/2024,1491.15,deposit,Branch,Utilities,Yes,,High,1,1,TRUE,,50k-150k,-1000,469151.93,LATE,BR004,Reversed,5.46
CUST01114,26-35,female,Nigeria,Retail,Savings,TXN000255,25/07/2024,10261.64,Payment,atm,Utilities,Yes,534,Medium,0,Y,No,,,-1000,208126.22,Late,BR002,Pending,-2
CUST01263,36-45,F,Uganda,Affluent,CURRENT,TXN000317,02/24/2024,12.54,Payment,USSD,,,629,Medium,-1,Yes,TRUE,,,,320132.15,Late,br007,completed,4.94
CUST01300,46-55,female,South Africa,Retail,Fixed Deposit,TXN000161,04/09/2024,-5341.27,Airtime,Mobile App,Healthcare,0,-50,High,,,,9999,150k-500k,,181036.41,Current,br007,completed,600
CUST01001,36-45,Female,Uganda,,savings,TXN000254,07/05/2024,3958.63,Deposit,mobile app,Restaurants,0,384,Medium,0,1,No,9999,500k-1M,,361191.92,N/A,br007,completed,
CUST01042,36-45,female,Rwanda,,savings,TXN000483,11/11/2024,2703.11,deposit,ATM,Healthcare,No,-50,Low,1,N,TRUE,9999,<50k,-1000,665005.76,Default,BR004,Failed,1.59
CUST01080,56-65,male,Nigeria,Corporate,Savings,TXN000046,02/10/2024,1270.38,Deposit,Branch,Retail,Yes,-50,Medium,2,Y,No,9999,50k-150k,,88711.82,Default,BR003,Pending,600
CUST01102,18-25,,SOUTH AFRICA,SME,Savings,TXN000390,19/07/2024,2702.04,Airtime,Mobile App,Restaurants,0,,Medium,2,,,51,,43009.15,503292.53,LATE,BR-006,completed,
CUST01040,46-55,Female,Rwanda,,CURRENT,TXN000203,15/06/2024,390.08,Payment,ATM,Utilities,Yes,779,low,1,0,FALSE,30,<50k,473724.14,688877.02,Default,BR004,Reversed,-2
CUST01315,56-65,M,RSA,Retail,CURRENT,TXN000423,13/08/2024,1874.94,Deposit,USSD,Retail,Yes,,Med,1,1,No,9999,<50k,155195.35,728832.6,current,br007,Completed,7.33
CUST01291,46-55,,Rwanda,Retail,Current,TXN000130,14/11/2024,1521.43,Payment,mobile app,Education,,1500,low,,No,TRUE,40,<50k,,167505.89,Current,BR005,Failed,
CUST01252,36-45,female,Uganda,Affluent,Wallet,TXN000281,17/11/2024,1254.94,Withdrawal,Internet Banking,Restaurants,Yes,716,HIGH,0,N,No,58,50k-150k,-1000,540077.94,Late,BR005,Reversed,
CUST01046,46-55,Male,Kenya,Corporate,Current,TXN000280,09/06/2024,3121.62,Payment,Mobile App,Groceries,1,999,Medium,0,Y,FALSE,43,50k-150k,,145166.27,current,BR005,Failed,-2
CUST01198,46-55,female,Uganda,SME,savings,TXN000095,16/03/2024,1710.38,deposit,Internet Banking,Healthcare,1,999,Medium,,No,TRUE,7,500k-1M,152690,298644.86,Default,BR002,Failed,600
CUST01067,18-25,female,Egypt,Student,Current,TXN000449,19/05/2024,931.42,Deposit,mobile app,Utilities,1,1500,Med,3,,Yes,9999,500k-1M,,93125.11,LATE,BR002,completed,
CUST01114,65+,M,Egypt,SME,Current,TXN000547,05/12/2024,1999.5,Deposit,Mobile App,Groceries,Yes,1500,HIGH,1,1,TRUE,9999,<50k,,334375.68,Late,BR001,Reversed,-2
CUST01194,18-25,Male,GHANA,Retail,Fixed Deposit,TXN000088,20/10/2024,1523.16,WITHDRAWAL,POS,Travel,Yes,999,Low,1,,TRUE,6,150k-500k,,359074.94,N/A,BR004,Completed,600
CUST01194,56-65,,TZ,SME,Fixed Deposit,TXN000090,12/07/2024,1630.29,Deposit,Branch,,,999,HIGH,3,0,No,,50k-150k,,774980.18,LATE,br007,completed,600
CUST01158,46-55,M,Nigria,Student,Fixed Deposit,TXN000427,17/11/2024,4895.53,Payment,Internet Banking,Groceries,,-50,HIGH,2,No,No,17,500k-1M,,207483.27,Late,BR005,completed,3.57
CUST01390,46-55,Female,GHANA,Student,Savings,TXN000129,07/17/2024,4250.29,Transfer,mobile app,Groceries,No,999,Medium,-1,Y,TRUE,9999,50k-150k,147025.56,376429.25,Late,BR003,Reversed,6.94
CUST01214,36-45,male,SOUTH AFRICA,Student,Wallet,TXN000358,26/09/2024,-813.75,Airtime,Branch,Utilities,0,999,Med,0,No,TRUE,,,-1000,551064.39,current,BR005,Failed,600
CUST01282,,female,EGYPT,SME,Wallet,TXN000152,19/10/2024,4244.2,deposit,Internet Banking,Education,0,,High,0,N,,32,<50k,-1000,8473.35,Late,br007,Reversed,
CUST01239,46-55,F,Rwanda,Affluent,savings,TXN000367,20/06/2024,2875.14,Deposit,mobile app,Travel,0,999,Medium,0,0,TRUE,25,>1M,-1000,249268.1,Default,BR003,Completed,600
CUST01309,65+,M,SOUTH AFRICA,SME,CURRENT,TXN000012,14/12/2024,910.6,Airtime,ATM,Utilities,Yes,-50,Low,1,,Yes,9999,,,35269.41,Late,BR005,Completed,
CUST01034,26-35,M,RSA,Affluent,Current,TXN000010,15/05/2024,510.82,Transfer,Mobile App,Groceries,0,-50,low,3,Yes,FALSE,9999,>1M,,747765.01,current,BR001,Completed,-2
